no_strat_1,no_strat_2,no_strat_3,no_strat_4,coef_1|1|1|1|1|1|1|1,coef_1|1|1|1|1|1|2,coef_1|1|1|1|1|3,coef_1|1|1|1|2|2,coef_1|1|1|1|4,coef_1|1|1|2|3,coef_1|1|1|5,coef_1|1|2|2|2,coef_1|1|2|4,coef_1|1|3|3,coef_1|1|6,coef_1|2|2|3,coef_1|2|5,coef_1|3|4,coef_1|7,coef_2|2|2|2,coef_2|2|4,coef_2|3|3,coef_2|6,coef_3|5,coef_4|4,coef_8,pwrs_1|1|1|1|1|1|1|1,pwrs_1|1|1|1|1|1|2,pwrs_1|1|1|1|1|3,pwrs_1|1|1|1|2|2,pwrs_1|1|1|1|4,pwrs_1|1|1|2|3,pwrs_1|1|1|5,pwrs_1|1|2|2|2,pwrs_1|1|2|4,pwrs_1|1|3|3,pwrs_1|1|6,pwrs_1|2|2|3,pwrs_1|2|5,pwrs_1|3|4,pwrs_1|7,pwrs_2|2|2|2,pwrs_2|2|4,pwrs_2|3|3,pwrs_2|6,pwrs_3|5,pwrs_4|4,pwrs_8
2,0,1,5,336,120|12,60,24|16,24,6|6,6,12,4,,,4,2,,,,,,,,,,2|1|5,2|1|4*1|1|5,2|1|3,2|1|3*1|1|4,2|1|2,2|1|2*1|1|3,2|1|1,1|1|3,1|1|2,,,1|1|2,1|1|1,,,,,,,,,
2,1,1,4,1680,360|60,120,24|48,24,12,,12,4,,,,,,,,,,,,,,2|1|1|4,2|1|1|3*1|1|1|4,2|1|1|2,2|1|1|2*1|1|1|3,2|1|1|1,1|1|1|2,,1|1|1|2,1|1|1|1,,,,,,,,,,,,,
3,0,1,4,840,180|90,60|15,12|72,12,18|9,,18,6,12,,3,,3,,,,,,,,,3|1|4,3|1|3*2|1|4,3|1|2*1|1|4,3|1|2*2|1|3,3|1|1,2|1|2*1|1|3,,2|1|2,2|1|1,1|1|2,,1|1|2,,1|1|1,,,,,,,,
3,1,1,3,3360,360|360,60|60,144,,18|18,,,,12,,,,,,,,,,,,,3|1|1|3,3|1|1|2*2|1|1|3,3|1|1|1*1|1|1|3,2|1|1|2,,2|1|1|1*1|1|1|2,,,,1|1|1|1,,,,,,,,,,,,
3,0,2,3,1680,180|60|180,30|30,24|72|24,,3|9|9|3,,36,,6,,6|6,,,,,,6,,,,,3|2|3,3|2|2*3|1|3*2|2|3,3|2|1*1|2|3,3|1|2*2|2|2*2|1|3,,3|1|1*2|2|1*1|2|2*1|1|3,,2|1|2,,1|2|1,,2|1|1*1|1|2,,,,,,1|1|1,,,,
3,0,0,5,168,60|18,30|3,12|24,12,3|9|3,3,18,6,6,,6|3,3,3,,,,6,,3,,,3|5,3|4*2|5,3|3*1|5,3|3*2|4,3|2,3|2*2|3*1|4,3|1,2|3,2|2,1|3,,2|2*1|3,2|1,1|2,,,,1|2,,1|1,,
3,1,2,2,5040,180|180|540,90,24|72|72,,9|9,,36,,,,6,,,,,,,,,,,3|1|2|2,3|1|2|1*3|1|1|2*2|1|2|2,1|1|2|2,3|1|1|1*2|1|2|1*2|1|1|2,,1|1|2|1*1|1|1|2,,2|1|1|1,,,,1|1|1|1,,,,,,,,,,
4,0,0,4,280,60|60,20|20,4|48|4,4|4,12|12,,12|12,4|4,16,,4|4,,4|4,,24,4|4,,,,8,,4|4,4|3*3|4,4|2*2|4,4|2*3|3*2|4,4|1*1|4,3|2*2|3,,3|2*2|3,3|1*1|3,2|2,,2|2*2|2,,2|1*1|2,,2|2,2|1*1|2,,,,1|1,
4,0,1,3,1120,120|240,20|80,96|16,16,12|24,,24,8,16,,4,,4,,,,,,,,,4|1|3,4|1|2*3|1|3,4|1|1*2|1|3,3|1|2*2|1|3,1|1|3,3|1|1*2|1|2,,2|1|2,1|1|2,2|1|1,,2|1|1,,1|1|1,,,,,,,,
4,0,2,2,1680,60|60|360,120,8|48|48|24,24,12|12,,24|12|12,4|4,,,8,,,,48,8,,,,,,4|2|2,4|2|1*4|1|2*3|2|2,2|2|2,4|1|1*3|2|1*3|1|2*2|2|2,1|2|2,2|2|1*2|1|2,,3|1|1*2|2|1*2|1|2,1|2|1*1|1|2,,,2|1|1,,,,2|1|1,1|1|1,,,,,
4,1,1,2,3360,120|720,240,96|48,48,24,,24,8,,,,,,,,,,,,,,4|1|1|2,4|1|1|1*3|1|1|2,2|1|1|2,3|1|1|1*2|1|1|2,1|1|1|2,2|1|1|1,,2|1|1|1,1|1|1|1,,,,,,,,,,,,,
5,0,1,2,840,30|300,150,40|60,60,15|15,15,30,10,,,10,5,,,,,,,,,,5|1|2,5|1|1*4|1|2,3|1|2,4|1|1*3|1|2,2|1|2,3|1|1*2|1|2,1|1|2,3|1|1,2|1|1,,,2|1|1,1|1|1,,,,,,,,,
5,1,1,1,1680,600,300,120,120,30,30,,,,,,,,,,,,,,,,5|1|1|1,4|1|1|1,3|1|1|1,3|1|1|1,2|1|1|1,2|1|1|1,1|1|1|1,,,,,,,,,,,,,,,
5,0,0,3,280,30|100,5|50,40|20,20,5|15|5,5,30,10,10,,5|10,5,5,,,,10,,5,,,5|3,5|2*4|3,5|1*3|3,4|2*3|3,2|3,4|1*3|2*2|3,1|3,3|2,2|2,3|1,,3|1*2|2,1|2,2|1,,,,2|1,,1|1,,
6,0,0,2,168,6|90,60,12|36,36,6|18,18,18|6,6|6,6,6,12,6,,,24,12,6,6,,,,6|2,6|1*5|2,4|2,5|1*4|2,3|2,4|1*3|2,2|2,4|1*3|2,3|1*2|2,2|2,1|2,3|1,2|1,,,3|1,2|1,2|1,1|1,,,
6,0,1,1,336,180,120,72,72,36,36,12,12,12,12,,,,,,,,,,,,6|1|1,5|1|1,4|1|1,4|1|1,3|1|1,3|1|1,2|1|1,3|1|1,2|1|1,2|1|1,1|1|1,,,,,,,,,,,
7,0,0,1,56,42,35,28,28,21,21,14,14,14,14,7,7,7,7,,,,,,,,7|1,6|1,5|1,5|1,4|1,4|1,3|1,4|1,3|1,3|1,2|1,3|1,2|1,2|1,1|1,,,,,,,
8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,6,5,5,4,5,4,4,3,4,3,3,2,4,3,3,2,2,2,1
