no_strat_1,no_strat_2,no_strat_3,no_strat_4,coef_1|1|1|1|1|1|1|1|1|1,coef_1|1|1|1|1|1|1|1|2,coef_1|1|1|1|1|1|1|3,coef_1|1|1|1|1|1|2|2,coef_1|1|1|1|1|1|4,coef_1|1|1|1|1|2|3,coef_1|1|1|1|1|5,coef_1|1|1|1|2|2|2,coef_1|1|1|1|2|4,coef_1|1|1|1|3|3,coef_1|1|1|1|6,coef_1|1|1|2|2|3,coef_1|1|1|2|5,coef_1|1|1|3|4,coef_1|1|1|7,coef_1|1|2|2|2|2,coef_1|1|2|2|4,coef_1|1|2|3|3,coef_1|1|2|6,coef_1|1|3|5,coef_1|1|4|4,coef_1|1|8,coef_1|2|2|2|3,coef_1|2|2|5,coef_1|2|3|4,coef_1|2|7,coef_1|3|3|3,coef_1|3|6,coef_1|4|5,coef_1|9,coef_2|2|2|2|2,coef_2|2|2|4,coef_2|2|3|3,coef_2|2|6,coef_2|3|5,coef_2|4|4,coef_2|8,coef_3|3|4,coef_3|7,coef_4|6,coef_5|5,coef_10,pwrs_1|1|1|1|1|1|1|1|1|1,pwrs_1|1|1|1|1|1|1|1|2,pwrs_1|1|1|1|1|1|1|3,pwrs_1|1|1|1|1|1|2|2,pwrs_1|1|1|1|1|1|4,pwrs_1|1|1|1|1|2|3,pwrs_1|1|1|1|1|5,pwrs_1|1|1|1|2|2|2,pwrs_1|1|1|1|2|4,pwrs_1|1|1|1|3|3,pwrs_1|1|1|1|6,pwrs_1|1|1|2|2|3,pwrs_1|1|1|2|5,pwrs_1|1|1|3|4,pwrs_1|1|1|7,pwrs_1|1|2|2|2|2,pwrs_1|1|2|2|4,pwrs_1|1|2|3|3,pwrs_1|1|2|6,pwrs_1|1|3|5,pwrs_1|1|4|4,pwrs_1|1|8,pwrs_1|2|2|2|3,pwrs_1|2|2|5,pwrs_1|2|3|4,pwrs_1|2|7,pwrs_1|3|3|3,pwrs_1|3|6,pwrs_1|4|5,pwrs_1|9,pwrs_2|2|2|2|2,pwrs_2|2|2|4,pwrs_2|2|3|3,pwrs_2|2|6,pwrs_2|3|5,pwrs_2|4|4,pwrs_2|8,pwrs_3|3|4,pwrs_3|7,pwrs_4|6,pwrs_5|5,pwrs_10
2,1,2,5,15120,3360|336|336,1260,360|240|240|24,360,60|60|60,60,72|72|48,24|24,,,12|12|12,6|6,,,48,8,,,,,,12,4,,,,,,,,,,,,,,,,,,,2|1|2|5,2|1|2|4*2|1|1|5*1|1|2|5,2|1|2|3,2|1|2|3*2|1|1|4*1|1|2|4*1|1|1|5,2|1|2|2,2|1|2|2*2|1|1|3*1|1|2|3,2|1|2|1,2|1|1|3*1|1|2|3*1|1|1|4,2|1|1|2*1|1|2|2,,,2|1|1|2*1|1|2|2*1|1|1|3,2|1|1|1*1|1|2|1,,,1|1|1|3,1|1|1|2,,,,,,1|1|1|2,1|1|1|1,,,,,,,,,,,,,,,,,,
2,0,3,5,5040,1120|336|112,420|42,120|240|80|24,120,20|60|20|20|2,20,72|24|48,24|8,24,,12|6|4|12|4,6|2,6,,48,8,4|4,,2,,,12|6,4,2,,,,,,,,8,,2,,,,,,,,2|3|5,2|3|4*2|2|5*1|3|5,2|3|3*2|1|5,2|3|3*2|2|4*1|3|4*1|2|5,2|3|2,2|3|2*2|2|3*2|1|4*1|3|3*1|1|5,2|3|1,2|2|3*1|3|3*1|2|4,2|2|2*1|3|2,2|1|3,,2|2|2*2|1|3*1|3|2*1|2|3*1|1|4,2|2|1*1|3|1,2|1|2,,1|2|3,1|2|2,2|1|2*1|1|3,,2|1|1,,,1|2|2*1|1|3,1|2|1,1|1|2,,,,,,,,1|1|2,,1|1|1,,,,,,,
3,2,2,3,75600,5040|1680|1680|5040,630|630,360|360|120|1080|360|360,,30|30|90|90|30|30,,72|216|216|72,,36,,6|18|18|18|18|6,,,,144,,6|6,,,,,18|18,,,,,,,,,,12,,,,,,,,,,3|2|2|3,3|2|2|2*3|2|1|3*3|1|2|3*2|2|2|3,3|2|2|1*1|2|2|3,3|2|1|2*3|1|2|2*3|1|1|3*2|2|2|2*2|2|1|3*2|1|2|3,,3|2|1|1*3|1|2|1*2|2|2|1*1|2|2|2*1|2|1|3*1|1|2|3,,3|1|1|2*2|2|1|2*2|1|2|2*2|1|1|3,,1|2|2|1,,3|1|1|1*2|2|1|1*2|1|2|1*1|2|1|2*1|1|2|2*1|1|1|3,,,,2|1|1|2,,1|2|1|1*1|1|2|1,,,,,2|1|1|1*1|1|1|2,,,,,,,,,,1|1|1|1,,,,,,,,,
3,0,0,7,360,168|24,105|3,60|36,60,30|15|3,30,12|36,12|12,12|6,12,3|18|3,3|9,3|3,3,24,12,6|6,6,3,,,9|3,6,3|3,3,9,3,,,,,6,,3,,,6,3,,,,3|7,3|6*2|7,3|5*1|7,3|5*2|6,3|4,3|4*2|5*1|6,3|3,3|4*2|5,3|3*2|4,3|3*1|5,3|2,3|3*2|4*1|5,3|2*2|3,3|2*1|4,3|1,2|4,2|3,2|3*1|4,2|2,1|3,,,2|3*1|4,2|2,2|2*1|3,2|1,1|3,1|2,,,,,1|3,,1|2,,,1|2,1|1,,,
3,0,3,4,12600,1680|840|840,420|105|105,60|360|360|180,60,60|30|60|15|30|15,,36|36|216,12|12,24|24|6,,3|36|18|3|18,,3|3,,72,12,12|12|6,,,,,9|9,,3|3,,18,,,,,,6,,,,,6,,,,,3|3|4,3|3|3*3|2|4*2|3|4,3|3|2*3|1|4*1|3|4,3|3|2*3|2|3*2|3|3*2|2|4,3|3|1,3|2|2*3|1|3*2|3|2*2|1|4*1|3|3*1|2|4,,3|2|2*2|3|2*2|2|3,3|2|1*2|3|1,3|1|2*1|3|2*1|1|4,,3|1|2*2|2|2*2|1|3*1|3|2*1|2|3,,3|1|1*1|3|1,,2|2|2,2|2|1,2|1|2*1|2|2*1|1|3,,,,,2|1|2*1|2|2,,2|1|1*1|2|1,,1|1|2,,,,,,1|1|2,,,,,1|1|1,,,,
3,0,1,6,2520,840|168,420|21,180|180,180,60|60|15,60,12|108,12|36,12|24,12,36|9,18,9,,24,12,6|12,6,6,,,3,,3,,9,3,,,,,,,,,,,,,,,3|1|6,3|1|5*2|1|6,3|1|4*1|1|6,3|1|4*2|1|5,3|1|3,3|1|3*2|1|4*1|1|5,3|1|2,3|1|3*2|1|4,3|1|2*2|1|3,3|1|2*1|1|4,3|1|1,2|1|3*1|1|4,2|1|2,1|1|3,,2|1|3,2|1|2,2|1|2*1|1|3,2|1|1,1|1|2,,,1|1|3,,1|1|2,,1|1|2,1|1|1,,,,,,,,,,,,,,
3,1,1,5,15120,3360|1008,1260|126,360|720,360,60|180|60,60,216,72,72,,36|18,18,18,,,,12,,6,,,,,,,,,,,,,,,,,,,,,,,3|1|1|5,3|1|1|4*2|1|1|5,3|1|1|3*1|1|1|5,3|1|1|3*2|1|1|4,3|1|1|2,3|1|1|2*2|1|1|3*1|1|1|4,3|1|1|1,2|1|1|3,2|1|1|2,1|1|1|3,,2|1|1|2*1|1|1|3,2|1|1|1,1|1|1|2,,,,1|1|1|2,,1|1|1|1,,,,,,,,,,,,,,,,,,,,,,
3,1,3,3,50400,3360|3360|3360,420|420|420,720|720|720,,60|60|60|60|60|60,,432,,24|24|24,,36|36|36,,,,,,12|12|12,,,,,,,,,18,,,,,,,,,,,,,,,,3|1|3|3,3|1|3|2*3|1|2|3*2|1|3|3,3|1|3|1*3|1|1|3*1|1|3|3,3|1|2|2*2|1|3|2*2|1|2|3,,3|1|2|1*3|1|1|2*2|1|3|1*2|1|1|3*1|1|3|2*1|1|2|3,,2|1|2|2,,3|1|1|1*1|1|3|1*1|1|1|3,,2|1|2|1*2|1|1|2*1|1|2|2,,,,,,2|1|1|1*1|1|2|1*1|1|1|2,,,,,,,,,1|1|1|1,,,,,,,,,,,,,,,
3,0,2,5,7560,1680|168|504,630|63,180|120|360|36,180,30|30|90|30|3,30,36|108|72,12|36,36,,6|18|18|9|6,3|9,9,,72,12,6|6,,3,,,18|9,6,3,,,,,,,,12,,3,,,,,,,,3|2|5,3|2|4*3|1|5*2|2|5,3|2|3*1|2|5,3|2|3*3|1|4*2|2|4*2|1|5,3|2|2,3|2|2*3|1|3*2|2|3*1|2|4*1|1|5,3|2|1,3|1|3*2|2|3*2|1|4,3|1|2*2|2|2,1|2|3,,3|1|2*2|2|2*2|1|3*1|2|3*1|1|4,3|1|1*2|2|1,1|2|2,,2|1|3,2|1|2,1|2|2*1|1|3,,1|2|1,,,2|1|2*1|1|3,2|1|1,1|1|2,,,,,,,,1|1|2,,1|1|1,,,,,,,
3,1,2,4,37800,5040|840|2520,1260|315,180|360|1080|180,180,60|180|90|15,,36|108|216,12|36,72,,36|9|18,,9,,72,12,12,,,,,9,,3,,,,,,,,,,,,,,,,,,3|1|2|4,3|1|2|3*3|1|1|4*2|1|2|4,3|1|2|2*1|1|2|4,3|1|2|2*3|1|1|3*2|1|2|3*2|1|1|4,3|1|2|1,3|1|1|2*2|1|2|2*1|1|2|3*1|1|1|4,,3|1|1|2*2|1|2|2*2|1|1|3,3|1|1|1*2|1|2|1,1|1|2|2,,2|1|1|2*1|1|2|2*1|1|1|3,,1|1|2|1,,2|1|1|2,2|1|1|1,1|1|1|2,,,,,1|1|1|2,,1|1|1|1,,,,,,,,,,,,,,,,,
